id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
41,28,10,198600,0.09,993000,113736,260216,477815,711003,981205,1250280,1578680,1889760,2222700,2639660,,,,,,,,,,,,,,,,3/4/2025 0:34
42,28,15,144300,0.09,721500,82127.7,187969,345397,514055,709498,904010,1141490,1366250,1606730,1908080,2186490,2484380,2803080,3144060,3582290,,,,,,,,,,,3/4/2025 0:34
43,28,20,118600,0.09,593000,67167.7,153775,282724,420840,580900,740122,934576,1118480,1315200,1561820,1789480,2032990,2293460,2572070,2930420,3253450,3598980,3968550,4363830,4846960,,,,,,3/4/2025 0:34
44,28,25,103500,0.09,517500,58378,133684,245901,366072,505343,643830,813002,972900,1143910,1358380,1556210,1767780,1994040,2236000,2547410,2827860,3127770,3448480,3791440,4210830,4606730,5030070,5482750,5966790,6537010,3/4/2025 0:34
45,29,10,198600,0.09,993000,113707,260115,477638,710784,980964,1250020,1578400,1889470,2222390,2639320,,,,,,,,,,,,,,,,3/4/2025 0:34
46,29,15,144300,0.09,721500,82107.2,187896,345268,513895,709322,903822,1141290,1366040,1606500,1907830,2186230,2484090,2802780,3143740,3581940,,,,,,,,,,,3/4/2025 0:34
47,29,20,118600,0.09,593000,67150.9,153714,282618,420709,580755,739966,934410,1118300,1315010,1561620,1789260,2032760,2293210,2571800,2930130,3253150,3598650,3968190,4363450,4846550,,,,,,3/4/2025 0:34
48,29,25,103500,0.09,517500,58363.3,133631,245808,365957,505216,643693,812856,972743,1143740,1358200,1556020,1767580,1993820,2235770,2547160,2827590,3127480,3448170,3791110,4210470,4606350,5029660,5482310,5966320,6536510,3/4/2025 0:34
49,30,10,198600,0.09,993000,113665,259975,477437,710529,980684,1249720,1578080,1889120,2222020,2638920,,,,,,,,,,,,,,,,3/4/2025 0:34
50,30,15,144300,0.09,721500,82076.5,187794,345122,513709,709118,903603,1141060,1365790,1606230,1907540,2185920,2483760,2802420,3143360,3581530,,,,,,,,,,,3/4/2025 0:34
51,30,20,118600,0.09,593000,67125.6,153631,282498,420555,580587,739786,934216,1118090,1314780,1561380,1789010,2032480,2292920,2571490,2929790,3252790,3598260,3967780,4363010,4846080,,,,,,3/4/2025 0:34
52,30,25,103500,0.09,517500,58341.3,133558,245703,365823,505068,643535,812687,972562,1143540,1358000,1555800,1767340,1993560,2235490,2546870,2827280,3127140,3447810,3790720,4210060,4605900,5029190,5481800,5965780,6535930,3/4/2025 0:34
53,31,10,198700,0.09,993500,113667,259976,477471,710628,980893,1250050,1578550,1889730,2222770,2639860,,,,,,,,,,,,,,,,3/4/2025 0:34
54,31,15,144300,0.09,721500,82035.5,187698,344970,513517,708906,903376,1140810,1365530,1605950,1907240,2185600,2483420,2802050,3142960,3581110,,,,,,,,,,,3/4/2025 0:34
55,31,20,118600,0.09,593000,67091.9,153552,282372,420397,580412,739598,934016,1117880,1314550,1561140,1788740,2032200,2292620,2571170,2929450,3252410,3597860,3967350,4362550,4845580,,,,,,3/4/2025 0:34
56,31,25,103500,0.09,517500,58311.9,133489,245593,365684,504915,643371,812511,972374,1143340,1357780,1555570,1767090,1993300,2235210,2546560,2826950,3126790,3447440,3790320,4209630,4605440,5028690,5481270,5965210,6535320,3/4/2025 0:34
57,32,10,198700,0.09,993500,113625,259836,477253,710344,980581,1249710,1578190,1889350,2222360,2639420,,,,,,,,,,,,,,,,3/4/2025 0:34
58,32,15,144300,0.09,721500,82004.7,187596,344811,513310,708678,903132,1140550,1365250,1605650,1906920,2185260,2483050,2801660,3142540,3580660,,,,,,,,,,,3/4/2025 0:34
59,32,20,118600,0.09,593000,67066.6,153468,282241,420227,580223,739397,933800,1117650,1314310,1560870,1788460,2031900,2292290,2570820,2929070,3252010,3597430,3966890,4362060,4845060,,,,,,3/4/2025 0:34
60,32,25,103500,0.09,517500,58289.8,133416,245479,365535,504750,643195,812322,972171,1143130,1357550,1555320,1766820,1993010,2234900,2546230,2826600,3126420,3447040,3789890,4209170,4604950,5028160,5480710,5964600,6534670,3/4/2025 0:34
